indicatorId,geoUnit,year,value,qualifier,magnitude
CR.2,LTU,2012,99.00999999999999,,
CR.2,LTU,2013,98.28,,
CR.2,LTU,2014,98.46000000000001,,
CR.2,LTU,2015,98.78,,
CR.2,LTU,2016,98.25,,
CR.2,LTU,2017,98.47,,
CR.2,LTU,2018,99.07000000000001,,
CR.2,LTU,2019,99.06,,
CR.2,LTU,2020,98.8,,
CR.2,LTU,2021,99.09,,
CR.2,LUX,2006,95.24000000000001,,
CR.2,LUX,2007,92.4,,
CR.2,LUX,2008,92.72,,
CR.2,LUX,2009,96.44,,
CR.2,LUX,2010,92.91,,
CR.2,LUX,2011,92.54,,
CR.2,LUX,2012,94.16,,
CR.2,LUX,2013,94.3,,
CR.2,LUX,2014,92.5,,
CR.2,LUX,2015,93.89,,
CR.2,LUX,2016,92.97,,
CR.2,LUX,2017,93.4,,
CR.2,LUX,2018,93.8,,
CR.2,LUX,2019,94.07,,
CR.2,LUX,2020,92.30000000000001,,
CR.2,LUX,2021,96.52,,
CR.2,LVA,2006,98.77,,
CR.2,LVA,2007,97.99,,
CR.2,LVA,2008,96.87,,
CR.2,LVA,2009,97.82,,
CR.2,LVA,2010,97.71,,
CR.2,LVA,2011,98.6,,
CR.2,LVA,2012,97.97,,
CR.2,LVA,2013,98.79,,
CR.2,LVA,2014,97.71,,
CR.2,LVA,2015,98.68,,
CR.2,LVA,2016,99.22,,
CR.2,LVA,2017,99.83,,
CR.2,LVA,2018,98.53,,
CR.2,LVA,2019,98.97,,
CR.2,LVA,2020,99.06,,
CR.2,LVA,2021,99.42,,
CR.2,MDA,2000,89.45,,
CR.2,MDA,2005,93.45060729980469,,
CR.2,MDA,2012,96.517578125,,
CR.2,MKD,2005,93.95,,
CR.2,MKD,2011,97.55848693847656,,
CR.2,MKD,2018,93.9837417602539,,
CR.2,MNE,2005,97.42,,
CR.2,MNE,2013,98.9476318359375,,
CR.2,MNE,2018,94.67401885986328,,
CR.2,NOR,2006,99.92,,
CR.2,NOR,2007,99.9,,
CR.2,NOR,2008,100,,
CR.2,NOR,2009,100,,
CR.2,NOR,2010,100,,
CR.2,NOR,2011,100,,
CR.2,NOR,2012,99.89,,
CR.2,NOR,2013,100,,
CR.2,NOR,2014,98.74000000000001,,
CR.2,NOR,2015,98.47,,
CR.2,NOR,2016,99.51,,
CR.2,NOR,2017,98.07000000000001,,
CR.2,NOR,2018,99.16,,
CR.2,NOR,2019,99.03,,
CR.2,NOR,2020,99.22,,
CR.2,NOR,2021,100,,
CR.2,POL,2006,96.88,,
CR.2,POL,2007,98.16,,
CR.2,POL,2008,98.49,,
CR.2,POL,2009,98.27,,
CR.2,POL,2010,98.27,,
CR.2,POL,2011,98.37,,
CR.2,POL,2012,98.32,,
CR.2,POL,2013,98.04,,
CR.2,POL,2014,98.13,,
CR.2,POL,2015,98.39,,
CR.2,POL,2016,98.59,,
CR.2,POL,2017,99,,
CR.2,POL,2018,98.54,,
CR.2,POL,2019,98.47,,
CR.2,POL,2020,96.17,,
CR.2,POL,2021,94.19999999999999,,
CR.2,PRT,2006,78.72,,
CR.2,PRT,2007,80.4,,
CR.2,PRT,2008,82.44,,
CR.2,PRT,2009,85.35000000000001,,
CR.2,PRT,2010,87.82,,
CR.2,PRT,2011,91.10000000000001,,
CR.2,PRT,2012,91.3,,
CR.2,PRT,2013,92.63,,
CR.2,PRT,2014,92.88,,
CR.2,PRT,2015,94.04,,
CR.2,PRT,2016,94.13,,
CR.2,PRT,2017,94.83,,
CR.2,PRT,2018,94.12,,
CR.2,PRT,2019,96.24000000000001,,
CR.2,PRT,2020,96.45,,
CR.2,PRT,2021,98.65,,
CR.2,ROU,2006,95.56,,
CR.2,ROU,2007,95.54,,
CR.2,ROU,2008,95.61,,
CR.2,ROU,2009,96.19,,
CR.2,ROU,2010,95.81,,
CR.2,ROU,2011,95.95,,
CR.2,ROU,2012,96.46000000000001,,
CR.2,ROU,2013,96.91,,
CR.2,ROU,2014,96.95,,
CR.2,ROU,2015,96.17999999999999,,
CR.2,ROU,2016,96.27,,
CR.2,ROU,2017,95.89,,
CR.2,ROU,2018,96.48,,
CR.2,ROU,2019,96.77,,
CR.2,ROU,2020,96.38,,
CR.2,ROU,2021,96.12,,
CR.2,RUS,2013,99.41,,
CR.2,RUS,2018,100,,
CR.2,RUS,2019,100,,
CR.2,RUS,2020,99.72,,
CR.2,RUS,2021,100,,
CR.2,RUS,2022,100,,
CR.2,SRB,2005,97.21,,
CR.2,SRB,2011,98.3544692993164,,
CR.2,SRB,2014,98.29647827148438,,
CR.2,SRB,2019,98.26323699951172,,
CR.2,SVN,2006,99.16,,
CR.2,SVN,2007,99.19,,
CR.2,SVN,2008,98.88,,
CR.2,SVN,2009,99.02,,
CR.2,SVN,2010,98.65,,
CR.2,SVN,2011,98.42999999999999,,
