cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,0.94684553,0.7180754,0.3816182,3,30
BE,10,0.9439015,0.7180754,1.3540529,6,90
BE,10,0.89870673,0.7180754,0.6263641,3,38
BE,10,0.9660232,0.7180754,1.3917439,3,666
BE,10,1.06315,0.7180754,0.46335682,6,38
BE,10,0.9008074,0.7180754,0.60584223,6,35
BE,10,0.9137402,0.7180754,0.36827502,6,38
BE,10,0.900078,0.7180754,0.4600211,6,40
BE,10,1.06315,0.7180754,0.36276987,5,60
BE,10,0.9081813,0.7180754,0.73725283,3,40
BE,10,1.0594689,0.7180754,0.54148394,6,45
BE,10,0.90487105,0.7180754,0.89941746,6,777
BE,10,1.0300072,0.7180754,1.3734916,6,27
BE,10,0.91075015,0.7180754,1.2785251,6,888
BE,10,1.0594689,0.7180754,0.6855626,6,39
BE,10,0.93069315,0.7180754,0.4645002,5,90
BE,10,1.06315,0.7180754,0.44409013,6,0
BE,10,0.92528105,0.7180754,0.9635792,7,666
BE,10,1.06315,0.7180754,0.5465496,1,38
BE,10,1.0339676,0.7180754,0.35477406,6,30
BE,10,1.0476425,0.7180754,0.5905259,5,39
BE,10,0.91887796,0.7180754,0.3429249,5,95
BE,10,0.8950466,0.7180754,0.5221135,4,40
BE,10,0.92951554,0.7180754,0.75213426,6,1
BE,10,0.9189489,0.7180754,0.5597212,6,666
BE,10,1.0594689,0.7180754,0.677903,4,20
BE,10,1.0912099,0.7180754,0.67547,6,40
BE,10,1.0594689,0.7180754,0.8728261,6,666
BE,10,0.900078,0.7180754,0.57748955,7,36
BE,10,0.94597024,0.7180754,0.7818722,4,38
BE,10,0.89987373,0.7180754,0.8032459,4,40
BE,10,1.0912099,0.7180754,0.5150562,7,38
BE,10,1.0877413,0.7180754,0.8302912,4,40
BE,10,1.0912099,0.7180754,0.45750445,5,36
BE,10,0.87743145,0.7180754,0.7176988,4,9
BE,10,1.0594689,0.7180754,0.8728261,4,666
BE,10,1.0877413,0.7180754,0.9268394,5,41
BE,10,0.9227364,0.7180754,0.37930876,6,38
