essround,cntry,tvtot,sclmeet,wkhtot,dweight,pweight
3,AT,2,6,40,0.8286,0.28911608
3,AT,6,6,888,0.8286,0.28911608
3,AT,2,3,35,0.8286,0.28911608
3,AT,4,6,21,0.8286,0.28911608
3,AT,2,5,38,1.2429,0.28911608
3,AT,7,4,40,0.4143,0.28911608
3,AT,6,6,40,1.2429,0.28911608
3,AT,3,4,23,0.8286,0.28911608
3,AT,1,6,40,0.8286,0.28911608
3,AT,1,6,38,0.8286,0.28911608
3,AT,5,4,40,0.4143,0.28911608
3,AT,4,6,20,1.6572,0.28911608
3,AT,2,6,40,2.0715,0.28911608
3,AT,7,6,30,1.2429,0.28911608
3,AT,4,4,20,0.8286,0.28911608
3,AT,6,7,666,1.6572,0.28911608
3,AT,7,3,888,1.2429,0.28911608
3,AT,3,7,888,1.6572,0.28911608
3,AT,6,6,777,0.8286,0.28911608
3,AT,6,6,40,1.6572,0.28911608
3,AT,3,1,666,1.6572,0.28911608
3,AT,3,5,40,1.2429,0.28911608
3,AT,2,5,40,0.8286,0.28911608
3,AT,3,6,666,1.2429,0.28911608
3,AT,4,5,40,0.8286,0.28911608
3,AT,3,5,42,0.8286,0.28911608
3,AT,2,6,40,0.8286,0.28911608
3,AT,2,5,40,0.8286,0.28911608
3,AT,2,4,65,1.2429,0.28911608
3,AT,6,3,666,0.4143,0.28911608
3,AT,2,6,75,0.8286,0.28911608
3,AT,4,5,35,0.8286,0.28911608
3,AT,4,7,888,0.4143,0.28911608
3,AT,3,6,45,0.8286,0.28911608
3,AT,1,6,45,0.4143,0.28911608
3,AT,2,5,45,1.6572,0.28911608
3,AT,4,7,666,0.8286,0.28911608
3,AT,5,6,888,0.8286,0.28911608
3,AT,7,6,18,1.6572,0.28911608
3,AT,3,6,45,1.2429,0.28911608
3,AT,5,7,65,0.8286,0.28911608
3,AT,3,7,17,0.8286,0.28911608
3,AT,3,6,15,0.8286,0.28911608
3,AT,3,5,40,0.8286,0.28911608
3,AT,5,4,80,0.8286,0.28911608
3,AT,2,7,888,0.4143,0.28911608
