essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
6,AL,1.2070132,0.18600808,0.26039633,3,4,666
6,AL,0.5637255,0.18600808,0.13777073,2,5,666
6,AL,0.5978912,0.18600808,0.13755082,6,7,777
6,AL,2.7912571,0.18600808,0.22900897,7,7,48
6,AL,0.29521537,0.18600808,0.04671855,3,5,666
6,AL,0.5978912,0.18600808,0.13755082,7,5,16
6,AL,0.19681025,0.18600808,0.038498186,4,6,45
6,AL,0.2706141,0.18600808,0.03880243,7,2,15
6,AL,0.5592632,0.18600808,0.123001404,7,5,666
6,AL,0.19681025,0.18600808,0.0247324,1,3,50
6,AL,0.3936205,0.18600808,0.062291395,3,7,666
6,AL,4,0.18600808,0.7332056,5,2,666
6,AL,1.127451,0.18600808,0.29381776,7,3,777
6,AL,1.1185265,0.18600808,0.11903999,3,7,666
6,AL,1.1185265,0.18600808,0.24785931,4,7,666
6,AL,0.2988227,0.18600808,0.069441296,4,4,48
6,AL,0.19798128,0.18600808,0.016243394,7,4,48
6,AL,0.5976454,0.18600808,0.11461332,5,4,30
6,AL,0.5976454,0.18600808,0.13749425,7,4,80
6,AL,4,0.18600808,0.57854617,2,3,60
6,AL,1.8150386,0.18600808,0.1485024,5,6,40
6,AL,0.3203009,0.18600808,0.05613716,3,7,40
6,AL,1.9218055,0.18600808,0.14410856,7,4,777
6,AL,1.7082716,0.18600808,0.19620189,7,5,666
6,AL,0.19342935,0.18600808,0.037553437,4,4,666
6,AL,4,0.18600808,0.45941615,4,2,30
6,AL,0.59791106,0.18600808,0.049058724,7,2,56
6,AL,0.29014403,0.18600808,0.027257988,0,6,49
6,AL,2.1666086,0.18600808,0.48010856,2,3,777
6,AL,1.8570931,0.18600808,0.4115216,7,3,666
6,AL,2.9014401,0.18600808,0.6742034,5,1,60
6,AL,0.3868587,0.18600808,0.075106874,4,4,666
6,AL,0.8968666,0.18600808,0.20633304,3,3,16
6,AL,4,0.18600808,0.74932915,6,6,777
6,AL,0.6379932,0.18600808,0.11406077,3,4,666
6,AL,0.48357338,0.18600808,0.06076884,6,3,666
6,AL,0.58028805,0.18600808,0.13349272,7,2,64
6,AL,0.41268736,0.18600808,0.107547805,3,7,8
6,AL,0.10134036,0.18600808,0.016038353,6,6,20
6,AL,0.6379932,0.18600808,0.055580776,2,3,65
6,AL,1.7937332,0.18600808,0.41266608,4,3,777
6,AL,0.52411985,0.18600808,0.11527215,5,6,666
6,AL,0.21346918,0.18600808,0.046443123,7,6,777
6,AL,3.1899662,0.18600808,0.27790388,2,6,666
6,AL,0.15201055,0.18600808,0.03532466,4,7,777
6,AL,0.42532882,0.18600808,0.075470954,7,4,666
6,AL,2.0116887,0.18600808,0.31835458,7,6,666
6,AL,0.80467546,0.18600808,0.17359756,0,7,43
6,AL,0.10673459,0.18600808,0.023221562,7,6,777
6,AL,0.41268736,0.18600808,0.05674405,1,5,40
6,AL,0.10460941,0.18600808,0.020061448,5,6,42
6,AL,1.2578876,0.18600808,0.27874097,0,3,666
6,AL,0.3144719,0.18600808,0.05637657,7,7,777
6,AL,1.2070132,0.18600808,0.1516808,2,6,42
6,AL,0.39405075,0.18600808,0.07556431,3,7,48
6,AL,1.1421626,0.18600808,0.2252052,4,4,10
6,AL,0.20921881,0.18600808,0.033111442,4,7,56
6,AL,0.10460941,0.18600808,0.013146686,7,4,63
6,AL,1.4277031,0.18600808,0.30320954,2,2,60
6,AL,0.19702537,0.18600808,0.023914145,5,5,48
6,AL,0.10460941,0.18600808,0.009971915,4,6,22
6,AL,0.49256343,0.18600808,0.07794935,0,3,57
6,AL,0.19455326,0.18600808,0.037308093,7,4,48
6,AL,1.9455326,0.18600808,0.30788523,6,7,56
6,AL,1.1421626,0.18600808,0.20266695,4,6,666
6,AL,1.6507494,0.18600808,0.44514978,7,7,48
6,AL,1.0460941,0.18600808,0.1655572,1,2,666
6,AL,1.8868314,0.18600808,0.34919688,5,4,40
6,AL,1.1421626,0.18600808,0.16519845,7,7,666
6,AL,2.3643045,0.18600808,0.19397962,7,2,57
6,AL,2.533509,0.18600808,0.3183963,5,2,40
6,AL,0.10134036,0.18600808,0.023549773,7,7,666
6,AL,0.19455326,0.18600808,0.020111494,6,7,24
6,AL,0.21508433,0.18600808,0.0590763,7,6,777
6,AL,1.9455326,0.18600808,0.24448773,4,7,20
6,AL,0.19455326,0.18600808,0.023614092,6,5,33
6,AL,0.21346918,0.18600808,0.037878275,7,4,666
6,AL,0.32020378,0.18600808,0.06313599,2,6,777
6,AL,0.42693835,0.18600808,0.03719407,6,1,666
6,AL,0.8566219,0.18600808,0.15200022,6,6,666
6,AL,0.21676722,0.18600808,0.022871094,4,5,777
6,AL,1.3303062,0.18600808,0.12681174,2,3,49
6,AL,0.20268072,0.18600808,0.04372827,5,6,777
6,AL,0.2558281,0.18600808,0.055194795,7,7,56
6,AL,2.9487088,0.18600808,0.76535493,7,7,777
6,AL,0.8566219,0.18600808,0.064234674,3,7,777
6,AL,0.40932497,0.18600808,0.0335852,1,2,49
6,AL,0.10233124,0.18600808,0.023542317,7,6,56
6,AL,1.767348,0.18600808,0.20298705,2,4,40
6,AL,1.1782321,0.18600808,0.10264537,5,5,666
6,AL,0.883674,0.18600808,0.15680039,6,3,666
6,AL,1.1782321,0.18600808,0.21064496,7,1,666
6,AL,0.8467842,0.18600808,0.220675,7,3,30
6,AL,0.883674,0.18600808,0.15487607,7,4,42
6,AL,1.1290456,0.18600808,0.29423335,7,4,40
6,AL,0.8211994,0.18600808,0.11277899,5,3,666
6,AL,1.0003701,0.18600808,0.20505607,2,7,666
6,AL,0.5972359,0.18600808,0.1145348,3,5,40
6,AL,1.411307,0.18600808,0.31273788,4,2,70
6,AL,0.29533306,0.18600808,0.064253725,3,7,777
6,AL,0.4878793,0.18600808,0.07660479,4,4,666
6,AL,0.9757586,0.18600808,0.19293797,6,6,777
6,AL,1.1290456,0.18600808,0.20240828,7,1,30
6,AL,0.8958539,0.18600808,0.1718022,7,6,63
6,AL,1.0400565,0.18600808,0.3107956,7,5,666
6,AL,0.5645228,0.18600808,0.15223219,2,4,70
6,AL,1.1813322,0.18600808,0.2570149,7,5,666
6,AL,0.8958539,0.18600808,0.1718022,6,6,42
6,AL,2.1954567,0.18600808,0.26147535,6,3,666
6,AL,1.4766653,0.18600808,0.263999,7,7,666
6,AL,0.9757586,0.18600808,0.23669806,7,7,666
6,AL,1.1353352,0.18600808,0.16162522,3,2,40
6,AL,1.1353352,0.18600808,0.12259461,4,4,666
6,AL,1.1838707,0.18600808,0.09686165,2,7,777
6,AL,0.15482192,0.18600808,0.033402756,2,7,666
6,AL,0.20642923,0.18600808,0.044092227,2,7,22
6,AL,0.30964383,0.18600808,0.07195595,3,7,70
6,AL,1.7030028,0.18600808,0.37454945,6,2,666
6,AL,0.8515014,0.18600808,0.22962034,4,6,80
6,AL,1.9868366,0.18600808,0.21145052,7,4,666
6,AL,0.15482192,0.18600808,0.030286703,5,6,666
6,AL,2.5866203,0.18600808,0.5850782,2,1,777
6,AL,3.6787488,0.18600808,0.67865676,3,3,78
6,AL,0.7107708,0.18600808,0.06363213,1,2,82
6,AL,2.8430831,0.18600808,0.65407944,3,2,20
6,AL,0.31831148,0.18600808,0.06692586,7,7,777
6,AL,1.029839,0.18600808,0.2590613,4,2,666
6,AL,2.4369283,0.18600808,0.19995047,6,7,40
6,AL,0.058006953,0.18600808,0.01312083,7,2,666
6,AL,1.4854536,0.18600808,0.2928934,7,6,70
6,AL,0.883674,0.18600808,0.18579488,5,7,100
6,AL,0.8859992,0.18600808,0.1583994,4,5,666
6,AL,0.59193534,0.18600808,0.12878358,4,2,666
6,AL,1.1838707,0.18600808,0.21165302,0,4,666
6,AL,0.5305191,0.18600808,0.092980795,6,4,80
6,AL,0.5149195,0.18600808,0.152333,3,4,777
6,AL,0.17402086,0.18600808,0.032103423,7,7,666
6,AL,0.31831148,0.18600808,0.0277307,3,7,666
6,AL,1.8022183,0.18600808,0.5385491,7,7,666
6,AL,0.3624789,0.18600808,0.07820465,5,7,666
6,AL,2.3468075,0.18600808,0.51057994,6,7,777
6,AL,2.4141788,0.18600808,0.43990278,4,6,777
6,AL,0.5906661,0.18600808,0.04429171,7,3,35
6,AL,0.59193534,0.18600808,0.12878358,0,2,666
6,AL,1.1838707,0.18600808,0.1016511,7,4,48
6,AL,0.31831148,0.18600808,0.02733129,3,5,40
6,AL,0.64003843,0.18600808,0.04799394,6,4,40
6,AL,0.1035654,0.18600808,0.024066834,5,5,60
6,AL,0.21334614,0.18600808,0.018586317,5,3,666
6,AL,0.2071308,0.18600808,0.048133668,4,7,80
6,AL,0.64003843,0.18600808,0.09556624,3,5,25
6,AL,0.58887464,0.18600808,0.10527932,2,2,666
6,AL,0.883312,0.18600808,0.18571876,2,7,60
6,AL,0.58887464,0.18600808,0.05130166,4,3,60
6,AL,0.48583943,0.18600808,0.1445028,4,2,777
6,AL,1.2522056,0.18600808,0.27016276,7,7,666
6,AL,0.97167885,0.18600808,0.2328157,3,2,66
6,AL,1.1777493,0.18600808,0.13526927,7,2,56
6,AL,1.8463584,0.18600808,0.2628458,6,7,40
6,AL,0.3077264,0.18600808,0.06819048,3,5,666
6,AL,0.1565257,0.18600808,0.030017687,6,6,40
6,AL,0.58887464,0.18600808,0.1281177,6,5,777
6,AL,1.2145985,0.18600808,0.2401641,2,7,56
6,AL,0.6587691,0.18600808,0.13571754,6,2,666
6,AL,0.81230944,0.18600808,0.13271478,2,6,90
6,AL,0.7287591,0.18600808,0.14409846,6,4,44
6,AL,2.3236923,0.18600808,0.48856267,7,5,42
6,AL,0.20870094,0.18600808,0.017123954,7,6,45
6,AL,0.21124475,0.18600808,0.018403247,6,4,666
6,AL,1.0562238,0.18600808,0.20826028,6,7,35
6,AL,3.339215,0.18600808,0.64037734,7,3,90
6,AL,1.538632,0.18600808,0.3383986,2,6,666
6,AL,0.21124475,0.18600808,0.015840406,7,4,35
6,AL,0.31686714,0.18600808,0.056649674,5,5,666
6,AL,0.41030186,0.18600808,0.100275025,2,7,666
6,AL,3.5911608,0.18600808,0.26928687,7,7,40
6,AL,0.97027,0.18600808,0.2615414,3,4,666
6,AL,0.31607848,0.18600808,0.04627908,3,6,22
6,AL,0.210719,0.18600808,0.030477667,2,7,56
6,AL,0.210719,0.18600808,0.01580098,4,2,70
6,AL,0.210719,0.18600808,0.045844782,7,4,40
6,AL,0.5267975,0.18600808,0.11461195,4,4,48
6,AL,0.97027,0.18600808,0.2615414,6,7,60
6,AL,0.42226937,0.18600808,0.07400854,5,7,45
6,AL,0.5676402,0.18600808,0.12484378,4,1,666
6,AL,0.52783674,0.18600808,0.07728396,2,7,56
6,AL,2.2705607,0.18600808,0.49937513,2,2,666
6,AL,0.6334041,0.18600808,0.07026536,4,3,20
6,AL,0.84453875,0.18600808,0.14985617,4,6,666
6,AL,0.51672196,0.18600808,0.12901045,7,4,666
6,AL,0.21113469,0.18600808,0.041214604,6,4,40
6,AL,0.25836098,0.18600808,0.031670026,3,3,666
6,AL,4,0.18600808,0.29994413,6,4,50
6,AL,0.32001922,0.18600808,0.027879475,4,5,42
6,AL,1.9867407,0.18600808,0.5229798,7,2,55
6,AL,1.1351206,0.18600808,0.12257145,1,2,666
6,AL,3.9849064,0.18600808,0.76535493,5,7,40
6,AL,2.158491,0.18600808,0.6266896,3,2,666
6,AL,2.9787602,0.18600808,0.44476852,7,4,50
6,AL,0.33207554,0.18600808,0.09876894,6,3,55
6,AL,0.1063843,0.18600808,0.02030893,2,5,666
6,AL,0.2127686,0.18600808,0.037290633,3,7,777
6,AL,0.77508295,0.18600808,0.12525856,6,2,666
6,AL,0.64003843,0.18600808,0.113569334,7,4,666
6,AL,0.2127686,0.18600808,0.020102082,6,5,24
6,AL,0.33207554,0.18600808,0.09876894,4,2,70
6,AL,3.8298347,0.18600808,0.57184523,5,7,60
6,AL,0.2127686,0.18600808,0.015954671,1,7,80
6,AL,0.3203009,0.18600808,0.027904015,6,3,56
6,AL,0.58633554,0.18600808,0.12756526,7,7,777
6,AL,0.58633554,0.18600808,0.104040205,5,6,666
6,AL,1.1726711,0.18600808,0.24655728,7,7,777
6,AL,0.33310282,0.18600808,0.039100602,6,4,36
6,AL,1.127451,0.18600808,0.27554145,4,7,666
6,AL,0.8795033,0.18600808,0.15723805,5,4,45
6,AL,2.9979253,0.18600808,0.76535493,7,7,666
6,AL,0.5876945,0.18600808,0.10428136,4,4,666
6,AL,1.4093137,0.18600808,0.15217908,6,2,666
6,AL,0.16150132,0.18600808,0.0480352,2,2,12
6,AL,0.16150132,0.18600808,0.018957507,3,4,666
6,AL,0.2462718,0.18600808,0.02933057,7,6,666
6,AL,3.2015333,0.18600808,0.76535493,4,7,43
6,AL,0.16150132,0.18600808,0.03193386,1,6,777
6,AL,0.4037533,0.18600808,0.120088,4,2,666
6,AL,0.24982712,0.18600808,0.06060269,4,4,666
6,AL,4,0.18600808,0.70976573,5,7,666
6,AL,1.4093137,0.18600808,0.37098074,6,2,666
6,AL,1.4191005,0.18600808,0.20202178,3,3,666
6,AL,0.4925436,0.18600808,0.063617334,5,5,48
6,AL,0.24982712,0.18600808,0.07253403,1,7,48
6,AL,0.41637853,0.18600808,0.09976491,7,3,777
6,AL,0.2462718,0.18600808,0.059007093,3,7,40
6,AL,1.1807262,0.18600808,0.20950975,7,6,666
6,AL,0.7723479,0.18600808,0.21427746,3,6,777
6,AL,0.8513405,0.18600808,0.15262303,7,5,48
6,AL,0.8513405,0.18600808,0.22186239,7,2,40
6,AL,0.32995242,0.18600808,0.0387308,5,7,40
6,AL,0.32995242,0.18600808,0.036905937,6,4,56
6,AL,0.16490899,0.18600808,0.016905265,3,2,666
6,AL,0.4124405,0.18600808,0.048413496,3,4,31
6,AL,0.8805715,0.18600808,0.1915803,7,6,666
6,AL,1.127451,0.18600808,0.27554145,2,3,666
6,AL,1.1352804,0.18600808,0.27745494,7,3,8
6,AL,1.1351206,0.18600808,0.24658862,6,4,48
6,AL,0.8795033,0.18600808,0.19134791,7,2,666
6,AL,0.8815418,0.18600808,0.15642203,5,7,666
6,AL,1.4692364,0.18600808,0.30891097,7,4,666
6,AL,0.88554466,0.18600808,0.10170838,5,3,40
6,AL,2.0546668,0.18600808,0.17899871,1,7,666
6,AL,0.8805715,0.18600808,0.18701205,7,7,4
6,AL,1.3192719,0.18600808,0.26407143,4,2,40
6,AL,0.32995242,0.18600808,0.06524191,5,5,56
6,AL,0.082454495,0.18600808,0.008452632,7,7,666
6,AL,0.58704764,0.18600808,0.051142488,3,6,666
6,AL,0.2473635,0.18600808,0.060457908,3,5,777
6,AL,2.0521743,0.18600808,0.40463626,7,4,666
6,AL,0.5876945,0.18600808,0.124812074,6,5,666
6,AL,1.4759078,0.18600808,0.29101124,4,2,60
6,AL,1.1807262,0.18600808,0.25688305,5,6,666
6,AL,1.1740953,0.18600808,0.20833315,5,2,666
6,AL,1.1819196,0.18600808,0.25714266,2,6,777
6,AL,0.5909598,0.18600808,0.10486075,7,3,666
6,AL,1.1819196,0.18600808,0.2097215,3,5,666
6,AL,0.88643974,0.18600808,0.15847817,3,2,666
6,AL,1.1819196,0.18600808,0.08862746,7,7,48
6,AL,0.88643974,0.18600808,0.15847817,3,7,666
6,AL,0.2462718,0.18600808,0.059007093,2,6,70
6,AL,1.5480043,0.18600808,0.38940844,0,1,777
6,AL,0.16655141,0.18600808,0.039905965,5,2,48
6,AL,0.24796389,0.18600808,0.037605047,1,3,14
6,AL,2.644948,0.18600808,0.31500903,2,7,666
6,AL,2.580007,0.18600808,0.7632653,3,2,60
6,AL,0.32981798,0.18600808,0.06521533,7,6,666
6,AL,2.0640056,0.18600808,0.6106123,0,4,777
6,AL,1.0320028,0.18600808,0.25960562,7,5,666
6,AL,0.24702583,0.18600808,0.065922126,4,6,50
6,AL,1.7680748,0.18600808,0.2030705,7,4,50
6,AL,0.5893582,0.18600808,0.1282229,5,2,666
6,AL,0.8840374,0.18600808,0.15804866,3,2,666
6,AL,1.1787164,0.18600808,0.2564458,5,7,777
6,AL,1.4733956,0.18600808,0.12054993,6,5,30
6,AL,0.6385376,0.18600808,0.05482698,4,5,30
6,AL,0.21284586,0.18600808,0.015960466,7,7,777
6,AL,0.21284586,0.18600808,0.017414574,2,3,48
6,AL,0.16534013,0.18600808,0.033750024,7,6,30
6,AL,0.7072299,0.18600808,0.1239518,5,5,82
6,AL,0.5321147,0.18600808,0.09441919,7,4,666
6,AL,0.74724585,0.18600808,0.16902259,2,7,666
6,AL,0.97167885,0.18600808,0.2328157,1,5,80
6,AL,0.7277025,0.18600808,0.14388953,6,6,666
