essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
8,AT,0.4534126,0.3703929,0.1428913,7,38
8,AT,0.99182886,0.3703929,0.81753695,7,20
8,AT,1.0931792,0.3703929,0.26960516,6,35
8,AT,0.84524995,0.3703929,0.27445307,3,40
8,AT,0.8611314,0.3703929,0.21115792,6,48
8,AT,2.6383712,0.3703929,0.861408,6,38
8,AT,0.893642,0.3703929,0.25705606,6,30
8,AT,1.1899725,0.3703929,0.28867054,4,42
8,AT,1.2019782,0.3703929,0.9895513,6,40
8,AT,0.46499038,0.3703929,0.17568372,6,40
8,AT,1.1805793,0.3703929,0.67931634,6,888
8,AT,0.5087625,0.3703929,0.12961294,5,30
8,AT,1.2615,0.3703929,0.34166062,6,60
8,AT,0.43347356,0.3703929,0.103838086,5,43
8,AT,0.9068252,0.3703929,0.2545677,5,45
8,AT,0.47394663,0.3703929,0.39908102,6,40
8,AT,0.99182886,0.3703929,0.29185846,6,10
8,AT,1.1397051,0.3703929,0.67975426,6,38
8,AT,0.43029726,0.3703929,0.13653699,5,30
8,AT,0.7781752,0.3703929,0.35753253,6,666
8,AT,1.6307768,0.3703929,0.79387367,5,40
8,AT,1.7572241,0.3703929,0.580412,6,40
8,AT,0.6228077,0.3703929,0.23993318,6,40
8,AT,0.578808,0.3703929,0.119815834,6,25
8,AT,1.2960111,0.3703929,0.32836097,4,43
8,AT,0.5087625,0.3703929,0.12961294,6,42
8,AT,0.69535744,0.3703929,0.23498756,6,38
8,AT,0.77811545,0.3703929,0.23390558,4,40
8,AT,1.3749862,0.3703929,0.90884835,5,40
8,AT,0.78033745,0.3703929,0.23577431,4,40
8,AT,1.4218398,0.3703929,0.40698573,5,42
8,AT,0.873076,0.3703929,0.42501977,5,30
8,AT,0.89775264,0.3703929,0.34813982,5,55
8,AT,0.68401986,0.3703929,0.16583622,6,30
8,AT,0.53665406,0.3703929,0.26268902,4,50
8,AT,0.8473973,0.3703929,0.19785959,6,40
8,AT,0.8473973,0.3703929,0.19785959,7,40
8,AT,1.1065404,0.3703929,0.26827356,4,42
8,AT,1.3845699,0.3703929,0.29474583,5,43
8,AT,1.2388589,0.3703929,0.3138809,5,20
8,AT,1.0848502,0.3703929,0.5601786,4,30
8,AT,1.0649401,0.3703929,0.25833938,4,45
