STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,acl00,Classification of activities for time use,quant_inc,Income quantile,deg_urb,Degree of urbanisation,hhcomp,Household composition,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2015,,9.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2022,,8.8,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2015,,6.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2022,,5.8,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2015,,28.7,,u,low reliability,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2022,,20.5,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IS,Iceland,2015,,32.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2015,,12.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2022,,5.3,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2015,,16.3,,,,,
