essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
10,AT,0.7555606,0.3817861,0.12671822,4,45
10,AT,0.9986648,0.3817861,0.2532627,5,48
10,AT,1.3874681,0.3817861,0.44057637,5,20
10,AT,0.8349567,0.3817861,0.14044501,3,8
10,AT,0.528447,0.3817861,0.6326773,4,40
10,AT,0.528447,0.3817861,0.14632341,4,40
10,AT,0.45490637,0.3817861,0.36002246,6,32
10,AT,1.013695,0.3817861,0.3218884,4,999
10,AT,1.1425477,0.3817861,0.75819296,6,39
10,AT,0.89729786,0.3817861,0.5954454,6,36
10,AT,1.1992664,0.3817861,0.45664358,6,45
10,AT,1.056894,0.3817861,0.3133133,6,70
10,AT,1.5673647,0.3817861,1.2180445,5,65
10,AT,0.60737973,0.3817861,0.16817941,6,999
10,AT,0.42301053,0.3817861,1.3588407,2,999
10,AT,0.8216196,0.3817861,0.52106965,5,40
10,AT,0.7496826,0.3817861,0.12573229,5,60
10,AT,1.1079152,0.3817861,1.5271444,5,15
10,AT,1.168301,0.3817861,0.4458119,4,40
10,AT,1.129806,0.3817861,0.14801873,5,8
10,AT,1.4868103,0.3817861,0.25009078,5,38
10,AT,0.89729786,0.3817861,0.9167154,6,41
10,AT,0.83871,0.3817861,0.5706892,4,20
10,AT,1.1883165,0.3817861,0.3505122,6,32
10,AT,1.0393327,0.3817861,0.7072002,5,999
10,AT,0.52207124,0.3817861,0.0765749,6,40
10,AT,0.3777803,0.3817861,0.05932409,6,45
10,AT,1.2299385,0.3817861,0.18870547,6,38
10,AT,1.1041481,0.3817861,0.9407229,6,45
10,AT,0.5234405,0.3817861,0.1740255,7,50
10,AT,0.39184117,0.3817861,0.2666233,6,39
10,AT,0.5871483,0.3817861,0.11842776,6,40
10,AT,0.49412063,0.3817861,0.15690294,5,40
10,AT,0.5871483,0.3817861,0.09220187,6,40
10,AT,1.9511242,0.3817861,0.7301909,6,5
10,AT,0.5841505,0.3817861,0.18494827,5,49
10,AT,0.33315697,0.3817861,0.051115196,3,46
10,AT,0.9572266,0.3817861,1.1460294,4,46
10,AT,1.055126,0.3817861,1.263238,6,30
10,AT,0.84995234,0.3817861,0.6605229,2,40
10,AT,0.8609209,0.3817861,0.57130545,6,43
10,AT,2.02739,0.3817861,0.758733,6,39
10,AT,0.9970505,0.3817861,0.2887846,5,43
10,AT,0.42315778,0.3817861,0.14068504,6,999
10,AT,1.5347388,0.3817861,0.52998734,4,40
10,AT,0.8915591,0.3817861,1.5271444,7,999
10,AT,1.4936283,0.3817861,0.25050256,6,999
10,AT,0.48496804,0.3817861,0.32182387,6,40
10,AT,1.1178081,0.3817861,0.18802235,6,40
10,AT,1.089091,0.3817861,0.34582958,4,999
10,AT,0.5109151,0.3817861,0.085939124,4,41
10,AT,1.2749285,0.3817861,1.0862262,4,40
10,AT,0.9755621,0.3817861,0.37146395,7,20
10,AT,0.37660202,0.3817861,0.05913907,5,41
10,AT,0.39121404,0.3817861,0.065804645,4,30
10,AT,1.4633431,0.3817861,0.46331012,4,47
10,AT,0.5068475,0.3817861,0.12853722,4,45
10,AT,0.5084526,0.3817861,0.07457729,6,40
10,AT,1.8919706,0.3817861,0.5608698,6,48
10,AT,0.49412063,0.3817861,0.15644385,4,40
10,AT,0.9618752,0.3817861,0.28371987,6,18
10,AT,0.97702754,0.3817861,0.31024504,6,38
10,AT,0.4686138,0.3817861,0.2941146,4,40
10,AT,0.94941556,0.3817861,0.36150813,4,41
10,AT,1.168301,0.3817861,0.2962827,4,21
10,AT,0.528447,0.3817861,0.15587352,4,34
10,AT,0.75320405,0.3817861,0.12669362,3,50
10,AT,0.74853796,0.3817861,0.6358806,5,50
10,AT,1.4955758,0.3817861,0.37928015,2,42
10,AT,1.5589992,0.3817861,1.4444865,6,999
10,AT,0.528447,0.3817861,0.16731189,6,41
10,AT,0.7455467,0.3817861,0.12503867,4,70
10,AT,0.45966756,0.3817861,0.42243135,4,40
10,AT,1.1992664,0.3817861,0.3797006,5,50
10,AT,1.2985752,0.3817861,0.17444669,6,50
10,AT,2.337088,0.3817861,1.4668195,3,999
10,AT,0.5120416,0.3817861,0.63185513,4,55
10,AT,1.3056039,0.3817861,0.37815368,5,55
10,AT,1.0883634,0.3817861,0.1596359,3,30
10,AT,0.3748413,0.3817861,0.058862563,5,38
10,AT,0.5520741,0.3817861,0.43911806,6,45
10,AT,0.9699361,0.3817861,0.8239576,6,999
10,AT,0.66631395,0.3817861,0.13209143,6,50
10,AT,0.45423004,0.3817861,0.069691025,6,36
10,AT,0.84631556,0.3817861,0.14193903,6,40
10,AT,1.1917695,0.3817861,0.35153085,5,999
10,AT,0.5520741,0.3817861,0.41015327,6,45
10,AT,1.5662137,0.3817861,0.26267606,3,36
10,AT,0.5445455,0.3817861,0.17240901,2,40
10,AT,0.8423468,0.3817861,0.65461236,4,42
10,AT,1.0240833,0.3817861,0.32518703,4,42
10,AT,0.22764085,0.3817861,0.18106493,2,37
10,AT,0.81995904,0.3817861,0.13792218,4,41
10,AT,0.9572266,0.3817861,0.36448234,4,42
10,AT,0.7262741,0.3817861,0.10652633,2,50
10,AT,1.7805613,0.3817861,1.5271444,5,47
10,AT,1.1907401,0.3817861,0.19970393,6,60
10,AT,0.52241796,0.3817861,0.12920731,5,35
10,AT,1.3874681,0.3817861,0.528305,4,38
10,AT,1.1742966,0.3817861,0.18440375,6,55
10,AT,0.89856046,0.3817861,0.2650442,6,40
10,AT,0.78368235,0.3817861,0.62333876,5,40
10,AT,0.42315778,0.3817861,0.05543898,6,40
10,AT,0.75320405,0.3817861,0.0986792,5,30
10,AT,0.9459853,0.3817861,0.23396637,5,999
10,AT,1.7614449,0.3817861,0.35528323,5,30
10,AT,0.46673688,0.3817861,0.13518517,6,10
10,AT,0.9618752,0.3817861,0.28371987,4,30
10,AT,0.93347377,0.3817861,0.34934458,4,39
10,AT,1.2187842,0.3817861,0.42088,6,32
10,AT,0.2721198,0.3817861,0.2164433,7,0
10,AT,1.2985752,0.3817861,0.20391959,6,38
10,AT,1.0592657,0.3817861,0.33635893,4,41
10,AT,0.9193351,0.3817861,0.22737512,5,45
