Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,976.329895019531,1157.41162109375,1476.24755859375,1929.39929199219,2559.22900390625,4232.02294921875,4033.24047851563,4122.78466796875,4091.04858398438,4258.74365234375,4488.287109375,5642.63134765625,6690.578125,7645.6298828125,8038.9140625,9641.5751953125,9696.099609375,11310.072265625,10526.1416015625,11617.6923828125,15261.4169921875,15139.220703125,14234.2412109375,15092.828125,15287.91796875,14388.3525390625,14821.44921875,16093.2158203125,20252.24609375,23792.619140625,24959.26171875,26729.28125,31244.87890625,35397.296875,32236.44921875,31105.02734375,32485.798828125,28991.935546875,27764.73046875,26993.103515625,23088.44140625,24280.056640625,26247.44921875,29120.375,29227.173828125,28130.341796875,32937.83984375,33231.04296875,36623.69140625,38674.29296875,
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3969.36733543794,2917.08655474323,3396.70972430469,3984.1463439879,4663.28665345469,5865.29460556726,6573.19643136362,6069.38762357837,6526.59635780951,6377.6211077224,6062.92152842793,6669.07494847497,8101.26018588111,9852.45677945801,11782.5546676117,13442.4916284309,15259.0788162004,18452.6532812196,22774.7045076205,19817.4215836554,20160.4355077059,22049.1080788682,20014.0354015165,20260.4954999375,20038.4163180257,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31761.5944102491,31823.3078290564,
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,1389.0213943225,1530.53779004389,1711.2181376602,1807.25279179793,2049.39724281483,2284.22850484956,2487.13627144432,2700.74637883336,2776.13544525805,3151.13324311543,3464.45518278408,3845.59906810072,4653.95587889115,6116.89199229142,6763.86592918646,7988.15613263518,8773.3396162771,9769.57864283968,11817.6250875179,13757.2343740839,13822.1578405912,12000.2103769191,11740.2199128271,11796.5691955784,11516.6821578436,12212.7873997293,17136.6297376226,21295.6768566078,22524.5792595476,21882.1517463842,26885.6994188191,27002.8057705804,29579.4913648682,27581.7241097459,29967.8303903163,35321.0980773087,35621.9878051732,32779.879045297,33346.4884298957,33426.2381077405,30722.0251837567,30768.4775471112,33257.1622586509,40519.0974905924,46625.050098011,48925.8076698784,52119.1787984282,58631.6566433635,64616.6657583663,58412.7472358513,58104.5445594981,61809.737898222,58443.7747103968,61377.5940590412,62520.4509747011,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243,71026.4832271897,
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685.90889287357,2819.12612100926,3134.38975345407,3380.92630243199,3682.95230146695,4093.39247738765,4140.93660232167,4070.60902410208,4502.66614992392,5343.18310760735,7205.40703313243,8916.0728274602,10414.6381183565,12641.4800976473,16745.4308011148,18205.9064113446,14712.4494217916,14663.7041018705,17555.5455239426,17568.2137969714,19310.3874900757,20581.7898991695,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27951.1659277744,28340.3826549406,30264.0064885057,31428.3547816104,
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1191.85508873415,1341.49900625891,1426.6675637882,1538.45703402737,1725.60483489826,1902.03847177709,2031.52331393903,2055.75306771186,1927.29380452918,2201.12415237742,2465.86455526041,2716.43223544591,3177.9287929756,4173.54485169644,5298.08008790754,6256.10245136117,6740.29145314637,7069.73565139858,7629.49572475149,9333.07695567452,11224.9380036353,10925.0957161181,10935.3110588486,10493.9626636806,10830.2185222663,11394.1921044246,14946.9926198261,18565.0264426011,22043.7701596288,23969.052798644,28366.204276071,25488.8450525604,22320.1124695857,17588.6781715509,20278.29109854,26246.2743214462,25756.6777073618,24682.29083271,25999.9861694953,26180.4128562349,24335.9225082659,24965.202996776,26989.389260959,32920.0857192568,37768.1334202029,39049.8703780223,41214.0187765069,48473.0240091455,53769.4726240385,47478.3495310999,46506.2919016566,51060.3242589767,47551.6740841369,49691.0145200739,50073.7760815871,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50440.560224974,52834.2916752703,53149.7671934051,
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1306.79629911648,1401.87190432812,1553.99323202639,1723.23648290171,1891.12061521027,2023.50184544884,2172.59339649824,2328.11785496887,2518.15825593491,2729.37124785377,2832.54913756906,3137.05929958055,3809.09946046394,4906.53555379458,5260.60025882755,6616.76722499173,6792.3099035538,7458.76424117602,9166.59011961391,11062.5731730373,12565.1639377144,10955.9002996167,10359.8920663549,9862.28449386586,9311.89426452129,9657.01938533723,13430.4824599685,16175.7090467566,17549.6440487161,17547.2645422514,21586.4674617483,21500.7778366233,23615.0168565483,22238.8250618434,23359.8985104774,26791.8151982369,26757.6351494145,24169.4008102822,24869.4030795939,24576.3152254528,22340.5939516217,22331.7948343036,24144.5727019529,29479.5222101175,33644.9282220364,34696.3718316971,36431.5658906555,41486.1907828787,45464.8181385158,41728.0884164132,40694.8211697025,43929.7840873812,40863.5814412333,42669.1795111893,43148.0459288416,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579,44700.1384177544,46103.0840855884,
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.58202459728,1843.90343235858,1853.44090838675,1610.98027146868,1307.82342713006,757.223548505358,550.015542609224,519.815578814965,578.336923460866,689.034634153312,807.032285752352,851.515542450841,673.537782887275,749.908534993961,801.98383707929,853.526171868939,1010.03151630868,1305.04748557208,1642.78359414797,1996.02013272284,2635.36650276116,3324.7537205015,2822.68939668797,3281.72930937343,4119.66818307193,4530.69533409431,4712.00229382665,4830.33486170249,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,9241.49122313713,
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,1162.12266831735,1315.90787834504,1430.52095516263,1502.15452905146,1637.45522773672,1774.1986904555,1870.80540291774,1885.61596607874,2025.08159465853,2281.27598218229,2771.28310514754,3203.82884836051,3823.94032602696,5065.24523302283,5659.73787773336,6259.20744498342,6659.16546576017,7711.10232025365,9516.78283228907,11322.3543443813,12182.7800196802,10246.4767623188,9950.05926025365,9900.48559233526,9347.29068412377,9464.11694710857,13511.1520027486,16738.6132825523,17996.9783507619,17829.4609524705,22385.6778250275,23443.3350818536,26559.8543879632,25616.6508772405,27201.9593555204,31747.2449398447,30599.7891048363,27046.9565464237,27395.9440608051,26965.4922773722,23925.8559901991,23878.3641471651,25486.5942008748,30711.1022511331,34566.7359143735,35084.4363546269,36980.3349948954,42350.9217211489,46379.1647953479,42471.8868625226,42396.9665976293,47630.9761883572,44718.0159214069,47206.8353514242,48959.5991203133,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543,54776.7668235491,56103.7323182554,
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,513.085862390915,582.563503591063,608.475515462307,685.559282001744,772.805500770312,886.773611071551,983.55754915871,1053.2588863313,1138.38219032671,1305.64395976862,1473.60394808707,1629.3452793287,1873.25412773592,2468.00395502023,2789.40577350635,3109.3794397892,3343.38819444676,3832.32110004611,4629.33937671209,5626.58879087082,5811.69069600941,5305.43729381339,5501.63700061234,4950.06026518761,4785.07463033775,4746.76035816355,5577.83258692769,6473.57783168117,7492.35204811251,7737.54385772032,9466.66238502174,10046.6663875475,11021.012224607,10257.3085789073,10937.0223808611,12779.081491606,13432.5262183244,13015.9175046854,13022.9648774809,12742.5404388143,11638.2010697215,12156.9572824221,13782.195640943,18020.612039764,21449.2552764245,22054.1315756886,24416.0232970275,28440.7625328955,31695.8331092209,29425.4573200263,26653.0488008626,25504.7866510124,21624.346052551,21573.3449762805,21474.7257123892,17980.7298238137,17919.2426377048,18631.9930129293,19873.4015238771,19335.3602002969,17886.733165236,20654.7001960815,20886.5243087629,23343.7103964562,24626.1481858973,
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,476.434350138292,527.231617602682,559.197091346639,606.852738581394,709.652502602719,875.981999921224,955.874207823024,1083.47473343284,1248.79851313891,1388.39509904029,1617.87853402771,1864.67188851588,2158.22181355246,2213.05267699322,2255.06405686887,2049.71617921793,1991.23894795513,2020.02286569062,2330.84188308476,2565.9739107384,2812.23754602897,2902.43508126549,3323.53967237633,3361.22268037924,3747.32966394956,3886.66608419616,4187.0311799663,4509.41740910077,4542.0120380978,4606.0569733295,4751.7732430202,4801.95949584162,4629.91760812548,5280.94887987063,6658.04494326809,8410.09248198479,10291.2694721409,11212.2046968994,11478.4891640501,13934.605460375,15762.6322515113,13051.1831777184,13189.8433874768,14211.460557822,12950.1594488143,13739.4620151401,14352.501883174,12782.9412577973,13215.8605277789,14736.1668157258,16605.0570511887,17012.8598553199,16386.9308821258,19030.628130329,18428.028825614,22230.6277875187,23292.3263882478,
